voted_for,gender,education,age,white
Biden,Female,4-year,48,Yes
Biden,Female,4-year,51,Yes
Biden,Female,Post-grad,38,Yes
Trump,Female,4-year,35,Yes
Biden,Female,2-year,68,Yes
Trump,Male,High school graduate,67,Yes
Trump,Male,Post-grad,76,Yes
Trump,Male,2-year,71,Yes
Biden,Female,Some college,72,Yes
Biden,Male,4-year,64,Yes
Biden,Female,Some college,73,No
Biden,Male,Post-grad,38,Yes
Trump,Female,High school graduate,60,Yes
Biden,Male,Post-grad,51,Yes
Trump,Female,4-year,56,No
Trump,Female,Some college,51,Yes
Trump,Male,Some college,66,Yes
Biden,Female,2-year,69,Yes
Trump,Male,4-year,57,Yes
Biden,Female,4-year,57,No
Biden,Female,Post-grad,62,No
Biden,Female,4-year,71,No
Trump,Female,4-year,35,Yes
Biden,Male,4-year,56,Yes
Biden,Male,4-year,49,Yes
Trump,Female,Some college,50,Yes
Biden,Male,2-year,63,No
Trump,Male,4-year,30,Yes
Trump,Male,Post-grad,53,No
Biden,Female,4-year,37,Yes
Biden,Male,4-year,40,Yes
Trump,Female,2-year,57,Yes
Biden,Male,Post-grad,30,No
Trump,Male,4-year,62,Yes
Trump,Female,Post-grad,52,No
Biden,Female,4-year,66,Yes
Biden,Female,2-year,70,Yes
Trump,Female,Some college,67,Yes
Trump,Female,Post-grad,65,Yes
Trump,Male,Some college,70,No
Biden,Female,2-year,58,Yes
Biden,Female,Post-grad,64,Yes
Biden,Female,Post-grad,64,Yes
Trump,Female,Post-grad,28,Yes
Biden,Female,Post-grad,24,Yes
Trump,Female,Post-grad,45,Yes
Trump,Female,2-year,69,Yes
Biden,Female,4-year,67,Yes
Biden,Female,Post-grad,42,Yes
Biden,Male,4-year,54,Yes
Biden,Female,2-year,67,Yes
Biden,Male,Post-grad,64,Yes
Biden,Female,Post-grad,61,Yes
Biden,Female,4-year,69,Yes
Biden,Male,Some college,46,Yes
Biden,Female,High school graduate,58,Yes
Biden,Male,4-year,73,No
Biden,Male,Post-grad,38,No
Trump,Female,4-year,57,Yes
Biden,Male,4-year,49,Yes
Trump,Male,4-year,47,Yes
Trump,Female,4-year,79,Yes
Biden,Male,Post-grad,52,Yes
Biden,Female,Some college,49,Yes
Biden,Female,4-year,50,Yes
Biden,Female,4-year,51,Yes
Biden,Female,2-year,40,Yes
Biden,Female,2-year,59,Yes
Biden,Female,Post-grad,56,Yes
Biden,Female,Some college,63,Yes
Biden,Female,Some college,42,Yes
Biden,Male,2-year,55,No
Biden,Female,Post-grad,59,No
Trump,Female,2-year,65,Yes
Biden,Female,Some college,62,Yes
Biden,Female,Post-grad,66,Yes
Trump,Male,Some college,60,Yes
Trump,Female,Some college,62,Yes
Biden,Male,High school graduate,77,Yes
Biden,Male,Post-grad,76,Yes
Biden,Female,Post-grad,57,Yes
Biden,Female,4-year,63,Yes
Trump,Male,2-year,56,Yes
Biden,Female,Post-grad,40,Yes
Biden,Female,4-year,48,Yes
Trump,Female,Post-grad,66,Yes
Biden,Female,Post-grad,37,Yes
